"Date","Price","Open","High","Low","Vol.","Change %"
"01/28/2021","3.7","4.033","3.7","3.7","41.77M","-8.27%"
"01/29/2021","3.817","3.7","3.817","3.817","39.41M","3.19%"
"01/30/2021","3.864","3.817","3.864","3.864","56.78M","1.23%"
"01/31/2021","4.233","3.864","4.233","4.233","67.08M","9.55%"
"02/01/2021","4.264","4.233","4.264","4.264","97.45M","0.72%"
"02/02/2021","4.595","4.264","4.595","4.595","46.97M","7.75%"
"02/03/2021","5.257","4.595","5.257","5.257","123.81M","14.42%"
"02/04/2021","5.721","5.257","5.721","5.721","94.15M","8.83%"
"02/05/2021","6.416","5.721","6.416","6.416","136.71M","12.14%"
"02/06/2021","6.707","6.416","6.707","6.707","122.56M","4.53%"
"02/07/2021","6.118","6.707","6.118","6.118","134.13M","-8.78%"
"02/08/2021","6.657","6.118","6.657","6.657","133.12M","8.82%"
"02/09/2021","7.909","6.657","7.909","7.909","198.99M","18.8%"
"02/10/2021","7.84","7.909","7.84","7.84","155.21M","-0.87%"
"02/11/2021","9.022","7.84","9.022","9.022","151.65M","15.07%"
"02/12/2021","9.2","9.022","9.2","9.2","201.13M","1.98%"
"02/13/2021","9.229","9.2","9.229","9.229","114.93M","0.31%"
"02/14/2021","8.714","9.229","8.714","8.714","116.67M","-5.58%"
"02/15/2021","8.728","8.714","8.728","8.728","111.43M","0.16%"
"02/16/2021","8.847","8.728","8.847","8.847","109.98M","1.37%"
"02/17/2021","8.303","8.847","8.303","8.303","72.28M","-6.15%"
"02/18/2021","8.232","8.303","8.232","8.232","95.78M","-0.85%"
"02/19/2021","9.013","8.232","9.013","9.013","93.29M","9.48%"
"02/20/2021","11.441","9.013","11.441","11.441","337.88M","26.94%"
"02/21/2021","10.045","11.441","10.045","10.045","151.69M","-12.2%"
"02/22/2021","11.113","10.045","11.113","11.113","185.66M","10.64%"
"02/23/2021","14.424","11.113","14.424","14.424","745.5M","29.79%"
"02/24/2021","15.158","14.424","15.158","15.158","1244.33M","5.09%"
"02/25/2021","17.472","15.158","17.472","17.472","653.77M","15.26%"
"02/26/2021","13.811","17.472","13.811","13.811","528.01M","-20.95%"
"02/27/2021","13.669","13.811","13.669","13.669","439.22M","-1.03%"
"02/28/2021","13.311","13.669","13.311","13.311","331.65M","-2.62%"
"03/01/2021","13.031","13.311","13.031","13.031","388.23M","-2.11%"
"03/02/2021","15.03","13.031","15.03","15.03","392.44M","15.34%"
"03/03/2021","14.01","15.03","14.01","14.01","225.14M","-6.79%"
"03/04/2021","14.131","14.01","14.131","14.131","196.77M","0.86%"
"03/05/2021","13.115","14.131","13.115","13.115","147.66M","-7.19%"
"03/06/2021","12.631","13.115","12.631","12.631","114.43M","-3.69%"
"03/07/2021","13.068","12.631","13.068","13.068","151.72M","3.46%"
"03/08/2021","13.917","13.068","13.917","13.917","176.39M","6.5%"
"03/09/2021","13.64","13.917","13.64","13.64","135.03M","-1.99%"
"03/10/2021","14.867","13.64","14.867","14.867","168.0M","8.99%"
"03/11/2021","14.234","14.867","14.234","14.234","146.46M","-4.26%"
"03/12/2021","15.977","14.234","15.977","15.977","296.65M","12.25%"
"03/13/2021","14.599","15.977","14.599","14.599","234.67M","-8.62%"
"03/14/2021","15.318","14.599","15.318","15.318","187.96M","4.93%"
"03/15/2021","14.567","15.318","14.567","14.567","111.82M","-4.9%"
"03/16/2021","14.163","14.567","14.163","14.163","133.19M","-2.77%"
"03/17/2021","13.689","14.163","13.689","13.689","144.94M","-3.35%"
"03/18/2021","14.278","13.689","14.278","14.278","118.13M","4.3%"
"03/19/2021","14.269","14.278","14.269","14.269","98.34M","-0.06%"
"03/20/2021","14.183","14.269","14.183","14.183","86.84M","-0.6%"
"03/21/2021","14.276","14.183","14.276","14.276","86.34M","0.66%"
"03/22/2021","14.306","14.276","14.306","14.306","79.48M","0.21%"
"03/23/2021","14.87","14.306","14.87","14.87","326.59M","3.94%"
"03/24/2021","14.195","14.87","14.195","14.195","133.89M","-4.54%"
"03/25/2021","13.604","14.195","13.604","13.604","147.91M","-4.16%"
"03/26/2021","12.965","13.604","12.965","12.965","143.84M","-4.7%"
"03/27/2021","14.749","12.965","14.749","14.749","183.73M","13.76%"
"03/28/2021","16.566","14.749","16.566","16.566","282.81M","12.32%"
"03/29/2021","18.008","16.566","18.008","18.008","534.85M","8.7%"
"03/30/2021","18.885","18.008","18.885","18.885","266.28M","4.87%"
"03/31/2021","19.176","18.885","19.176","19.176","320.69M","1.54%"
"04/01/2021","19.487","19.176","19.487","19.487","255.37M","1.62%"
"04/02/2021","19.055","19.487","19.055","19.055","213.52M","-2.21%"
"04/03/2021","19.738","19.055","19.738","19.738","162.07M","3.58%"
"04/04/2021","22.599","19.738","22.599","22.599","600.72M","14.49%"
"04/05/2021","24.023","22.599","24.023","24.023","536.25M","6.3%"
"04/06/2021","22.943","24.023","22.943","22.943","324.31M","-4.5%"
"04/07/2021","24.99","22.943","24.99","24.99","404.12M","8.92%"
