run_id,path_id,fee_param,xsol_param,depeg_event,run_duration,sol_pool_activations,xsol_pool_activations,total_pool_activations
90.1,5,1.3,1.3,False,1000,0,7,7
52.2,3,1.4,1.4,False,1000,0,5,5
100.4,5,1.6,1.1,False,1000,0,0,0
51.1,3,1.4,1.3,False,1000,0,0,0
13.2,1,1.5,1.3,False,1000,0,50,50
25.2,2,1.3,1.1,True,976,0,16,16
2.5,1,1.2,1.1,True,823,0,14,14
58.4,3,1.6,1.1,True,105,0,3,3
43.1,3,1.1,1.1,True,105,0,4,4
38.3,2,1.6,1.2,False,1000,0,21,21
72.4,4,1.4,1.3,False,1000,0,5,5
69.1,4,1.3,1.3,False,1000,0,8,8
95.2,5,1.5,1.1,False,1000,0,0,0
92.1,5,1.4,1.2,False,1000,0,17,17
89.4,5,1.3,1.2,False,1000,0,8,8
28.3,2,1.4,1.1,True,976,0,11,11
71.4,4,1.4,1.2,False,1000,0,0,0
50.1,3,1.4,1.2,False,1000,0,8,8
12.2,1,1.5,1.2,False,1000,0,64,64
16.5,1,1.6,1.1,True,472,0,4,4
32.5,2,1.5,1.1,True,668,0,9,9
10.2,1,1.4,1.4,False,1000,0,64,64
48.4,3,1.3,1.3,False,1000,0,10,10
66.3,4,1.2,1.2,False,1000,0,0,0
79.1,4,1.6,1.1,False,1000,0,0,0
34.5,2,1.5,1.3,False,1000,0,38,38
47.5,3,1.3,1.2,False,1000,0,18,18
68.1,4,1.3,1.2,False,1000,0,0,0
39.3,2,1.6,1.3,False,1000,0,23,23
1.2,1,1.1,1.1,True,484,0,14,14
93.1,5,1.4,1.3,False,1000,0,10,10
23.1,2,1.2,1.1,True,976,0,13,13
27.2,2,1.3,1.3,False,1000,0,24,24
59.4,3,1.6,1.2,False,1000,0,0,0
3.5,1,1.2,1.2,True,128,0,1,1
77.4,4,1.5,1.4,False,1000,0,8,8
49.4,3,1.4,1.1,False,1000,0,1,1
97.2,5,1.5,1.3,False,1000,0,13,13
70.4,4,1.4,1.1,False,1000,0,0,0
29.3,2,1.4,1.2,False,1000,0,27,27
88.4,5,1.3,1.1,False,1000,0,0,0
60.5,3,1.6,1.3,False,1000,0,6,6
81.5,4,1.6,1.3,False,1000,0,2,2
78.5,4,1.5,1.5,False,1000,0,2,2
65.3,4,1.2,1.1,False,1000,0,5,5
57.1,3,1.5,1.5,False,1000,0,16,16
14.1,1,1.5,1.4,False,1000,0,59,59
102.4,5,1.6,1.3,False,1000,0,8,8
54.2,3,1.5,1.2,False,1000,0,7,7
64.4,4,1.1,1.1,False,1000,0,2,2
11.2,1,1.5,1.1,True,823,0,18,18
101.4,5,1.6,1.2,False,1000,0,0,0
24.1,2,1.2,1.2,False,1000,0,19,19
96.2,5,1.5,1.2,False,1000,0,12,12
94.2,5,1.4,1.4,False,1000,0,2,2
80.5,4,1.6,1.2,False,1000,0,4,4
91.1,5,1.4,1.1,False,1000,0,7,7
18.4,1,1.6,1.3,False,1000,0,57,57
46.5,3,1.3,1.1,True,105,0,3,3
26.2,2,1.3,1.2,False,1000,0,21,21
15.1,1,1.5,1.5,False,1000,0,72,72
31.5,2,1.4,1.4,False,1000,0,29,29
33.5,2,1.5,1.2,False,1000,0,16,16
17.5,1,1.6,1.2,True,128,0,2,2
85.1,5,1.1,1.1,False,1000,0,0,0
37.2,2,1.6,1.1,False,1000,0,8,8
55.2,3,1.5,1.3,False,1000,0,19,19
56.1,3,1.5,1.4,False,1000,0,4,4
53.2,3,1.5,1.1,False,1000,0,3,3
51.2,3,1.4,1.3,False,1000,0,11,11
36.5,2,1.5,1.5,False,1000,0,29,29
13.1,1,1.5,1.3,False,1000,0,51,51
35.5,2,1.5,1.4,False,1000,0,15,15
90.2,5,1.3,1.3,False,1000,0,14,14
87.5,5,1.2,1.2,False,1000,0,7,7
52.1,3,1.4,1.4,False,1000,0,20,20
21.5,1,1.6,1.6,False,1000,0,101,101
95.1,5,1.5,1.1,False,1000,0,0,0
69.2,4,1.3,1.3,False,1000,0,7,7
8.4,1,1.4,1.2,False,1000,0,59,59
92.2,5,1.4,1.2,False,1000,0,9,9
5.5,1,1.3,1.2,False,1000,0,48,48
25.1,2,1.3,1.1,True,142,0,2,2
43.2,3,1.1,1.1,False,1000,0,0,0
6.5,1,1.3,1.3,False,1000,0,59,59
79.2,4,1.6,1.1,False,1000,0,0,0
42.5,2,1.6,1.6,False,1000,0,34,34
50.2,3,1.4,1.2,False,1000,0,2,2
12.1,1,1.5,1.2,False,1000,0,29,29
104.4,5,1.6,1.5,False,1000,0,12,12
10.1,1,1.4,1.4,False,1000,0,49,49
73.4,4,1.4,1.4,False,1000,0,6,6
45.5,3,1.2,1.2,False,1000,0,9,9
63.5,3,1.6,1.6,False,1000,0,28,28
68.2,4,1.3,1.2,False,1000,0,5,5
9.4,1,1.4,1.3,False,1000,0,51,51
1.1,1,1.1,1.1,True,521,0,6,6
93.2,5,1.4,1.3,False,1000,0,12,12
74.4,4,1.5,1.1,False,1000,0,0,0
97.1,5,1.5,1.3,False,1000,0,2,2
22.5,2,1.1,1.1,True,976,0,9,9
84.5,4,1.6,1.6,False,1000,0,22,22
20.5,1,1.6,1.5,False,1000,0,63,63
23.2,2,1.2,1.1,True,142,0,5,5
27.1,2,1.3,1.3,False,1000,0,34,34
82.5,4,1.6,1.4,False,1000,0,2,2
19.4,1,1.6,1.4,False,1000,0,62,62
4.5,1,1.3,1.1,True,484,0,8,8
14.2,1,1.5,1.4,False,1000,0,58,58
67.3,4,1.3,1.1,False,1000,0,4,4
54.1,3,1.5,1.2,False,1000,0,15,15
11.1,1,1.5,1.1,True,484,0,13,13
41.5,2,1.6,1.5,False,1000,0,37,37
57.2,3,1.5,1.5,False,1000,0,17,17
30.5,2,1.4,1.3,False,1000,0,30,30
86.5,5,1.2,1.1,False,1000,0,0,0
98.3,5,1.5,1.4,False,1000,0,24,24
61.5,3,1.6,1.4,False,1000,0,20,20
26.1,2,1.3,1.2,False,1000,0,19,19
62.5,3,1.6,1.5,False,1000,0,11,11
83.5,4,1.6,1.5,False,1000,0,9,9
44.5,3,1.2,1.1,False,1000,0,0,0
24.2,2,1.2,1.2,False,1000,0,26,26
75.4,4,1.5,1.2,False,1000,0,2,2
96.1,5,1.5,1.2,False,1000,0,7,7
94.1,5,1.4,1.4,False,1000,0,13,13
76.4,4,1.5,1.3,False,1000,0,6,6
91.2,5,1.4,1.1,False,1000,0,2,2
40.5,2,1.6,1.4,False,1000,0,24,24
103.4,5,1.6,1.4,False,1000,0,6,6
56.2,3,1.5,1.4,False,1000,0,13,13
99.3,5,1.5,1.5,False,1000,0,31,31
53.1,3,1.5,1.1,False,1000,0,4,4
