,,depeg_event,depeg_event,depeg_event,sol_pool_activations,sol_pool_activations,xsol_pool_activations,xsol_pool_activations,total_pool_activations,total_pool_activations
,,count,sum,mean,sum,mean,sum,mean,sum,mean
xsol_param,fee_param,,,,,,,,,
1.1,1.1,25,14,0.56,0,0.0,146,5.84,146,5.84
1.1,1.2,25,12,0.48,0,0.0,131,5.24,131,5.24
1.1,1.3,25,11,0.44,0,0.0,109,4.36,109,4.36
1.1,1.4,25,12,0.48,0,0.0,146,5.84,146,5.84
1.1,1.5,25,11,0.44,0,0.0,105,4.2,105,4.2
1.1,1.6,25,9,0.36,0,0.0,70,2.8,70,2.8
1.2,1.2,25,1,0.04,0,0.0,406,16.24,406,16.24
1.2,1.3,25,0,0.0,0,0.0,494,19.76,494,19.76
1.2,1.4,25,0,0.0,0,0.0,452,18.08,452,18.08
1.2,1.5,25,0,0.0,0,0.0,396,15.84,396,15.84
1.2,1.6,25,1,0.04,0,0.0,337,13.48,337,13.48
1.3,1.3,25,0,0.0,0,0.0,583,23.32,583,23.32
1.3,1.4,25,0,0.0,0,0.0,550,22.0,550,22.0
1.3,1.5,25,0,0.0,0,0.0,516,20.64,516,20.64
1.3,1.6,25,0,0.0,0,0.0,469,18.76,469,18.76
1.4,1.4,25,0,0.0,0,0.0,646,25.84,646,25.84
1.4,1.5,25,0,0.0,0,0.0,629,25.16,629,25.16
1.4,1.6,25,0,0.0,0,0.0,587,23.48,587,23.48
1.5,1.5,25,0,0.0,0,0.0,849,33.96,849,33.96
1.5,1.6,25,0,0.0,0,0.0,733,29.32,733,29.32
1.6,1.6,25,0,0.0,0,0.0,910,36.4,910,36.4
