run_id,path_id,fee_param,xsol_param,depeg_event,run_duration,sol_pool_activations,xsol_pool_activations,total_pool_activations
7.3,1,1.25,1.1,True,377,0,2,2
26.1,1,1.4,1.3,False,1411,0,22,22
26.1,1,1.4,1.3,False,1411,0,46,46
26.1,1,1.4,1.3,False,1411,0,22,22
26.1,1,1.4,1.3,False,1411,0,46,46
13.1,1,1.3,1.2,True,486,0,4,4
13.1,1,1.3,1.2,True,484,0,13,13
13.1,1,1.3,1.2,True,486,0,4,4
13.1,1,1.3,1.2,True,484,0,13,13
54.1,1,1.55,1.5,False,1411,0,44,44
54.1,1,1.55,1.5,False,1411,0,59,59
54.1,1,1.55,1.5,False,1411,0,44,44
54.1,1,1.55,1.5,False,1411,0,59,59
28.3,1,1.4,1.4,False,1411,0,44,44
20.7,1,1.35,1.3,False,1411,0,34,34
43.2,1,1.5,1.4,False,1411,0,39,39
43.2,1,1.5,1.4,False,1411,0,40,40
43.2,1,1.5,1.4,False,1411,0,39,39
43.2,1,1.5,1.4,False,1411,0,40,40
7.14,1,1.25,1.1,True,377,0,2,2
32.1,1,1.45,1.25,True,668,0,11,11
32.1,1,1.45,1.25,True,668,0,20,20
32.1,1,1.45,1.25,True,668,0,11,11
32.1,1,1.45,1.25,True,668,0,20,20
41.12,1,1.5,1.3,False,1411,0,36,36
4.13,1,1.2,1.1,True,486,0,2,2
46.9,1,1.55,1.1,True,484,0,4,4
48.1,1,1.55,1.2,True,484,0,8,8
48.1,1,1.55,1.2,True,484,0,5,5
48.1,1,1.55,1.2,True,484,0,8,8
48.1,1,1.55,1.2,True,484,0,5,5
16.14,1,1.35,1.1,True,518,0,7,7
6.5,1,1.2,1.2,True,484,0,13,13
54.17,1,1.55,1.5,False,1411,0,38,38
41.1,1,1.5,1.3,False,1411,0,40,40
41.1,1,1.5,1.3,False,1411,0,26,26
41.1,1,1.5,1.3,False,1411,0,40,40
41.1,1,1.5,1.3,False,1411,0,26,26
7.4,1,1.25,1.1,True,484,0,6,6
48.6,1,1.55,1.2,True,484,0,7,7
28.12,1,1.4,1.4,False,1411,0,43,43
16.13,1,1.35,1.1,True,486,0,2,2
38.18,1,1.5,1.15,False,1411,0,28,28
7.13,1,1.25,1.1,True,377,0,2,2
24.1,1,1.4,1.2,True,484,0,9,9
24.1,1,1.4,1.2,True,484,0,5,5
24.1,1,1.4,1.2,True,484,0,9,9
24.1,1,1.4,1.2,True,484,0,5,5
32.3,1,1.45,1.25,True,668,0,23,23
45.19,1,1.5,1.5,False,1411,0,51,51
22.2,1,1.4,1.1,True,484,0,5,5
22.2,1,1.4,1.1,True,377,0,2,2
22.2,1,1.4,1.1,True,484,0,5,5
22.2,1,1.4,1.1,True,377,0,2,2
1.17,1,1.1,1.1,True,377,0,2,2
12.15,1,1.3,1.15,True,486,0,7,7
40.1,1,1.5,1.25,True,668,0,28,28
40.1,1,1.5,1.25,True,1411,0,39,39
40.1,1,1.5,1.25,False,668,0,28,28
40.1,1,1.5,1.25,False,1411,0,39,39
39.8,1,1.5,1.2,True,484,0,10,10
16.7,1,1.35,1.1,True,377,0,1,1
22.1,1,1.4,1.1,True,518,0,7,7
22.1,1,1.4,1.1,True,377,0,2,2
