day,pSOL,nSOL,value of SOL in $,daily mint of fSOL,daily burn of fSOL,daily mint of xSOL,daily burn of xSOL,pX,nX,Marketcap xSOL,pF,nF,Marketcap fSOL,Total mcap,fSOL adjustment,Collaterization ratio
0,22.466,31731.32733909018,712876.0,7707,0,31189,0,1.0,368179.0,368179.0,1,344697.0,344697.0,712876.0,0.0,2.0
1,23.876,31886.047463112973,761311.2692292854,0,14645,16352,0,1.1215201615195793,384531.0,431259.26922928536,1,330052.0,330052.0,761311.2692292854,0.0,2.197922150607975
2,22.957,30947.101459014724,710452.608194601,26619,0,0,46086,1.0453149202812895,338445.0,353781.608194601,1,356671.0,356671.0,710452.608194601,0.0,2.2178565547570823
3,24.971,32117.1496015929,801997.3427013763,0,44813,60213,0,1.2294732394718688,398658.0,490139.3427013763,1,311858.0,311858.0,801997.3427013763,0.0,2.166646771206677
4,26.478,30953.77976019423,819594.1804904229,0,4371,0,19567,1.3508819267416605,379091.0,512107.1804904228,1,307487.0,307487.0,819594.1804904228,0.0,2.7268753315642917
5,27.723,31849.797398546783,882971.9332799125,7282,0,12088,0,1.4525394596333454,391179.0,568202.9332799125,1,314769.0,314769.0,882971.9332799125,0.0,2.790789972557749
6,26.79,31478.712153222878,843314.6985848409,0,5462,0,3254,1.376574591956798,387925.0,534007.6985848409,1,309307.0,309307.0,843314.6985848409,0.0,2.7107373099227314
7,27.812,32006.814006746165,890173.5111556244,8743,0,4073,0,1.4595061994082223,391998.0,572123.5111556243,1,318050.0,318050.0,890173.5111556243,0.0,2.8304756840467067
8,28.547,32506.513111980454,927963.429807706,0,2076,10754,0,1.5195192818600676,402752.0,611989.4298077059,1,315974.0,315974.0,927963.4298077059,0.0,2.872814084108105
9,27.75,32823.9936083154,910865.8226307525,12710,0,0,2680,1.455192621904938,400072.0,582181.8226307523,1,328684.0,328684.0,910865.8226307523,0.0,2.854841660571622
10,26.465,32681.43083874229,864914.0671473147,2683,0,0,4783,1.3497645194966583,395289.0,533547.0671473145,1,331367.0,331367.0,864914.0671473145,0.0,2.6429244832242125
11,27.001,33159.679785376764,895344.513884958,20872,0,0,5709,1.3940795571768518,389580.0,543105.513884958,1,352239.0,352239.0,895344.513884958,0.0,2.6630029969094102
12,25.342,32156.41714380111,814907.9232582077,0,21091,0,3459,1.2528713104394935,386121.0,483759.9232582077,1,331148.0,331148.0,814907.9232582077,0.0,2.3856887088624994
13,25.096,33638.5520464757,844193.1021583541,6582,0,24841,0,1.2323842646238685,410962.0,506463.10215835425,1,337730.0,337730.0,844193.1021583542,0.0,2.4369691033641536
14,28.3,32529.9067694609,920596.3615757435,0,21238,0,6782,1.494641896124854,404180.0,604104.3615757435,1,316492.0,316492.0,920596.3615757435,0.0,2.81873396771167
15,28.8,33277.077318989075,958379.8267868854,11772,0,6350,0,1.534883752190791,410530.0,630115.8267868854,1,328264.0,328264.0,958379.8267868854,0.0,2.9601421677656115
16,31.752,32977.94001273241,1047115.5512842794,36836,0,0,26116,1.7741693884309093,384414.0,682015.5512842796,1,365100.0,365100.0,1047115.5512842796,0.0,3.2187926761159957
17,32.536,35022.306685819436,1139485.7703298212,13197,0,28955,0,1.8414268373531189,413369.0,761188.7703298214,1,378297.0,378297.0,1139485.7703298214,0.0,2.938839376209975
18,39.015,34615.81120302582,1350535.8740860524,16549,0,0,13558,2.3903541275403946,399811.0,955689.8740860526,1,394846.0,394846.0,1350535.8740860526,0.0,3.6119643966175925
19,36.006,34409.242248576935,1238939.176402261,0,1061,0,2994,2.1298335918125004,396817.0,845154.176402261,1,393785.0,393785.0,1238939.176402261,0.0,3.1566152327138877
20,40.849,33864.761996999485,1383341.6628154318,36,0,0,8737,2.5497852577185935,388080.0,989520.6628154318,1,393821.0,393821.0,1383341.6628154318,0.0,3.5694176685554786
21,47.466,31862.06246238561,1512364.6568395954,27376,0,0,39152,3.127200043675473,348928.0,1091167.6568395954,1,421197.0,421197.0,1512364.6568395954,0.0,4.081612694471797
22,44.5,28737.345005295414,1278811.8527356458,272,0,0,48776,2.856362285560802,300152.0,857342.8527356458,1,421469.0,421469.0,1278811.8527356458,0.0,3.3662675175183097
23,43.253,28261.440734110893,1222392.0960724985,25676,0,0,16902,2.7369712129655723,283250.0,775247.0960724984,1,447145.0,447145.0,1222392.0960724982,0.0,2.949152567600565
24,44.97,27587.020905763944,1240588.3301322046,19182,0,0,17024,2.908285930495911,266226.0,774261.3301322045,1,466327.0,466327.0,1240588.3301322046,0.0,2.842292745782614
25,42.637,27925.08224065915,1190641.7314949841,26272,0,0,4447,2.666534487086375,261779.0,698042.7314949842,1,492599.0,492599.0,1190641.7314949841,0.0,2.522324056636346
26,42.586,29190.997638164,1243127.825418852,12336,0,15623,0,2.661094099605814,277402.0,738192.825418852,1,504935.0,504935.0,1243127.825418852,0.0,2.4141696436669795
27,49.61,28255.367612776376,1401748.787269836,0,13703,0,9621,3.400229244307236,267781.0,910516.7872698361,1,491232.0,491232.0,1401748.787269836,0.0,2.8680233947524254
28,46.913,31427.029216770014,1474336.2216463315,45580,0,33127,0,3.115650702694284,300908.0,937524.2216463316,1,536812.0,536812.0,1474336.2216463317,0.0,2.6984073936921416
29,45.904,31536.751998922875,1447663.0637585558,30621,0,0,8499,3.010270079780567,292409.0,880230.0637585558,1,567433.0,567433.0,1447663.0637585558,0.0,2.687395865156909
30,42.705,32762.039886346385,1399102.9133464224,11950,0,15149,0,2.665253101354614,307558.0,819719.9133464224,1,579383.0,579383.0,1399102.9133464224,0.0,2.37345553415822
31,44.883,32810.59747528984,1472638.046483434,12343,0,0,3508,2.8972604719073636,304050.0,880912.0464834339,1,591726.0,591726.0,1472638.0464834338,0.0,2.537973389310499
32,43.446,33655.2759952748,1462187.1208907089,74414,0,0,13754,2.7421911459018,290296.0,796047.120890709,1,666140.0,666140.0,1462187.120890709,0.0,2.4090359692010193
33,43.001,33744.82076143654,1451061.0375625326,0,16068,7403,0,2.6906003633285054,297699.0,800989.0375625327,1,650072.0,650072.0,1451061.0375625328,0.0,2.172532084956333
34,45.674,32982.258113025004,1506431.657054304,0,20484,0,4792,2.9935906518256776,292907.0,876843.6570543038,1,629588.0,629588.0,1506431.6570543037,0.0,2.370908058580976
35,44.304,32234.62223866962,1428122.703662019,30665,0,0,22466,2.8393243023876518,270441.0,767869.7036620189,1,660253.0,660253.0,1428122.7036620188,0.0,2.3209558686624585
36,42.829,35115.83049803426,1503975.9044003093,23624,0,37460,0,2.6635149103130855,307901.0,820098.9044003093,1,683877.0,683877.0,1503975.9044003093,0.0,2.090981238797826
37,44.622,34707.61392159507,1548723.148409415,0,6557,0,4065,2.868004938221327,303836.0,871403.148409415,1,677320.0,677320.0,1548723.148409415,0.0,2.291257914044901
38,43.017,35026.28915026385,1506725.8803769003,28807,0,0,5624,2.684663529223841,298212.0,800598.8803769001,1,706127.0,706127.0,1506725.8803769,0.0,2.2043014056358223
39,40.233,33333.19976626577,1341094.6261961705,0,49641,0,7837,2.3576706885791503,290375.0,684608.6261961708,1,656486.0,656486.0,1341094.6261961707,0.0,1.9956929722026853
40,42.781,36166.757367374186,1547250.046933635,0,7027,48393,0,2.650164853036989,338768.0,897791.0469336347,1,649459.0,649459.0,1547250.0469336347,0.0,2.1722132980758397
